owner	name	value
MacroActionType	LeftClick	0
MacroActionType	RightClick	1
MacroActionType	MiddleClick	2
MacroActionType	DoubleClick	3
MacroActionType	DragDrop	4
MacroActionType	KeyPress	5
MacroActionType	TypeText	6
MacroActionType	Delay	7
MacroActionType	WaitColor	8
MacroActionType	IfColor	9
MacroActionType	IfColorArea	10
MacroActionType	WaitChange	11
MacroActionType	RunScript	12
NativeMethods	WM_HOTKEY	786
NativeMethods	HOTKEY_START_ID	9001
NativeMethods	HOTKEY_STOP_ALL_ID	9002
NativeMethods	HOTKEY_SPACE_ID	9003
NativeMethods	INPUT_MOUSE	0
NativeMethods	INPUT_KEYBOARD	1
NativeMethods	MOUSEEVENTF_LEFTDOWN	2
NativeMethods	MOUSEEVENTF_LEFTUP	4
NativeMethods	MOUSEEVENTF_RIGHTDOWN	8
NativeMethods	MOUSEEVENTF_RIGHTUP	16
NativeMethods	MOUSEEVENTF_MIDDLEDOWN	32
NativeMethods	MOUSEEVENTF_MIDDLEUP	64
NativeMethods	MOUSEEVENTF_WHEEL	2048
NativeMethods	GWL_EXSTYLE	-20
NativeMethods	WS_EX_TRANSPARENT	32
NativeMethods	GA_ROOT	2
OverlayForm	WM_NCHITTEST	132
OverlayForm	WM_MOUSEACTIVATE	33
OverlayForm	HTTRANSPARENT	-1
OverlayForm	HTCLIENT	1
OverlayForm	MA_NOACTIVATE	3
OverlayForm	SWP_NOACTIVATE	16
